judge,n,acc_vs_gold,rstar_raw,rstar_iso,ece_raw,ece_iso
falcon-7b-instruct,4946,0.4964,0.468,0.4907,0.0301,0.0036
granite-3.0-8b-instruct,4946,0.7822,0.1961,0.2161,0.0567,0.0138
Llama-3-8B-Instruct,4946,0.7833,0.1586,0.2141,0.0595,0.0158
Mistral-7B-Instruct-v0.3,4946,0.7556,0.2361,0.2429,0.0612,0.0161
OLMo-7B-Instruct-hf,4946,0.5352,0.3013,0.4626,0.1717,0.0166
Qwen2.5-7B-Instruct,4946,0.8465,0.1206,0.1529,0.0722,0.0206
