judge,n_pairs,disagreement_rate,disagreement_rate_ci_lo,disagreement_rate_ci_hi,abs_delta_mean,abs_delta_median,abs_delta_p95,position_bias,acc_ab_only,acc_ba_only,acc_debiased,acc_gain_from_debias
Qwen2.5-7B-Instruct,1000,0.434,0.405,0.463,0.4301292048315452,0.18241409878279388,0.9999726107455997,-0.15231249546353257,0.599,0.541,0.583,0.0129999999999999
Mistral-7B-Instruct-v0.3,1000,0.585,0.5559750000000001,0.616,0.4933196668690684,0.5363781217867376,0.9779936816936144,0.4611820927331389,0.566,0.553,0.576,0.01649999999999996
granite-3.0-8b-instruct,1000,0.412,0.382,0.442,0.370198716818906,0.2917706582594338,0.936775664304639,0.28011506658533875,0.572,0.576,0.587,0.013000000000000012
OLMo-7B-Instruct-hf,1000,0.66,0.63,0.69,0.6361614366985505,0.8933063090710491,0.9999995523708946,0.27257992955947613,0.527,0.525,0.519,-0.007000000000000006
falcon-7b-instruct,997,0.9538615847542627,0.9398194583751254,0.9659227683049146,0.5641600030334293,0.5796445845824739,1.0,0.5493168549314167,0.49949849548645936,0.4944834503510532,0.5095285857572718,0.01253761283851551
